RUN,Nombre,"Apellido P",telefono,"email personal","email  institucional",DEDICACIÓN,CONTRATO,DIURNO,VESPERTINO,SEDE,CARRERA,"GRADO ACADÉMICO",JERARQUÍA,CARGO,ESTAMENTO
,,,,,,20.0,,,,,,,,Administrativo,Administrativo
,,,,,,40.0,,,,,,,,"Técnico Contable",Administrativo
,,,,,,,HONORARIO,diurno,,,,LICENCIATURA,"INSTRUCTOR DOCENTE",,
24017462,Steve," Kloves",,,,,,,,,,,,,
12684784-K,,,,,,40.0,,,,,,,,"Secretario (a) de Dirección",Administrativo
,,,,,,,HONORARIO,,,,,,"INSTRUCTOR DOCENTE",,
,,,,,,,HONORARIO,diurno,,,,"MAGISTER ","INSTRUCTORA DOCENTE",,
,"araya MARIN,  OLGA sonia",,,,,40.0,,,,,,,,Asistente,Administrativo
,,,,,,,HONORARIO,diurno,,,,LICENCIATURA,"ASISTENTE DOCENTE",,
,,,,,,40.0,"FULL TIME",,,,,0,"TITULAR DOCENTE","Académico Investigador",Académico
,,,,,,,HONORARIO,diurno,,,,MAGISTER,"ASISTENTE DOCENTE",,
,,,,,,10.0,HONORARIO,diurno,,,,MAGISTER,"INSTRUCTOR DOCENTE",,Académico
,,,,,,40.0,"FULL TIME",diurno,,,,DOCTOR,"ASOCIADA REGULAR","Académico Investigador",Académico
,,,,,,,HONORARIO,diurno,vespertino,,,MAGISTER,"PROFESOR TITULAR DOCENTE",,Académico
,,,,,,,HONORARIO,,,,,,"COMISIÓN SUPERIOR ASOCIADO REGULAR",,Académico
,,,,,,,HONORARIO,,vespertino,,,MAGISTER,"ASISTENTE DOCENTE",,
,,,,,,40.0,HONORARIO,diurno,vespertino,,,MAGISTER,"PROFESOR TITULAR DOCENTE",,Académico
,,,,,,,HONORARIO,diurno,,,,MAGISTER,"SIN JERARQUIZAR",,
,,,,,,,planta,,,,,0,"ASISTENTE REGULAR","Profesor por Jornada",
,,,,,,10.0,HONORARIO,,vespertino,,,LICENCIATURA,,,Académico
,,,,,,,JORNADA,diurno,vespertino,,,DOCTOR,"TITULAR DOCENTE","Académico Investigador",
,,,,,,10.0,HONORARIO,,vespertino,,,LICENCIATURA,,,Académico
,,,,,,10.0,HONORARIO,diurno,vespertino,,,MAGISTER,,,Académico
,,,,,,20.0,"FULL TIME",diurno,,,,MAGISTER,"PROFESOR ASOCIADO DOCENTE",,Académico
,,,,,,,HONORARIO,diurno,,,,MAGISTER,,,Académico
,,,,,,10.0,HONORARIO,diurno,,,,MAGISTER,,,Académico
,,,,,,,HONORARIO,diurno,vespertino,,,MAGISTER,"TITULAR DOCENTE",Profesor,
,,,,,,,HONORARIO,,diurno,,,LICENCIATURA,LICENCIATURA,,Académico
,,,,,,10.0,HONORARIO,diurno,,,,MAGISTER,"INSTRUCTOR DOCENTE",,Académico
9866866,Luna,Lovegood,456789019,luna.lovegood.diaz@yeeha.com,luna.lovegood.diaz@lamejor.com,,,diurno,,HOGWARTS,MAGIA,MAGISTER,"INSTRUCTOR DOCENTE",,
22073090,Dennis,Creevey,,dennis.creevey.nash@gmall.com,dennis.creevey.nash@lamejor.com,,,,,,,MAGISTER,,,
7777777,"EDUARDO SANTIAGO",BUSTOS,BAHAMONDE,eb@uc.cl,eb@lamejor.cl,80.0,,"A VECES",TAMBIEN,HOGWARTS,,,BAJA,JUNIOR,administrativo
,,,,,,,HONORARIO,diurno,vespertino,,,MAGISTER,"INSTRUCTOR DOCENTE",,
,,,,,,10.0,HONORARIO,diurno,,,,LICENCIATURA,"TITULAR DOCENTE",,Académico
,,,,,,,HONORARIO,,,,,,"ASOCIADO DOCENTE",,
,,,,,,10.0,HONORARIO,diurno,,,,MAGISTER,"PROFESOR ASISTENTE DOCENTE",,Académico
,,,,,,,HONORARIO,diurno,,,,MAGISTER,"INSTRUCTOR DOCENTE",,
15647936,,,,,,,HONORARIO,,,,,MAGISTER,"INSTRUCTOR DOCENTE","Profesor por Jornada",
,,,,,,,HONORARIO,diurno,,,,LICENCIATURA,"TITULAR DOCENTE",,
6666666,Voldemort,SeñorOscuro,567890123,voldemort.senoroscuros@elinnombrable.com,voldemort.senoroscuros.elinnombrable@lamejor.com,,GRATIS,diurno,,,," LICENCIATURA",,VACANTE,
,,,,,,,HONORARIO,,,,,MAGISTER,"SIN JERARQUIZAR",,
,,,,,,10.0,HONORARIO,,,,,,,,Académico
,,,,,,,HONORARIO,diurno,vespertino,,,MAGISTER,"ASOCIADO DOCENTE",,
,,,,,,,HONORARIO,diurno,,,,MAGISTER,"ASOCIADO DOCENTE",,
9808360,Firenze,,,firenze@yeeha.com,firenze@lamejor.com,,,,,,,,,,
,,,,,,,JORNADA,diurno,,,,MAGISTER,"ASOCIADO REGULAR","Académico Investigador",
,,,,,,10.0,HONORARIO,,vespertino,,,MAGISTER,"ASISTENTE DOCENTE",,Académico
,,,,,,,JORNADA,,vespertino,,,DOCTOR,"ASOCIADO DOCENTE","Director Inst. Investigación y Postgra",
,,,,,,,JORNADA,,,,,0,"ASISTENTE DOCENTE","Profesor por Jornada",
,,,,,,40.0,"FULL TIME",diurno,,,,LICENCIATURA,"INSTRUCTOR DOCENTE","Director Clínica",Académico
,,,,,,40.0,"FULL TIME",,,,,,,"Encargado Servicios",Administrativo
19036378,Lee,Jordan,,lee.jordan.marin@yeeha.com,lee.jordan.marin@lamejor.com,,,,,,,,,,
,,,,,,,HONORARIO,,vespertino,,,0,"SIN JERARQUIZAR",,
12114054,Justin,Finch-Fletchley,,justin.finch-fletchley@latorre.com,justin.finch-fletchley@@lamejor,,,,,,,,,,
,,,,,,20.0,"FULL TIME",,,,,MAGISTER,"SIN JERARQUIZAR",,Académico
,,,,,,,HONORARIO,diurno,,,,MAGISTER,"INSTRUCTOR DOCENTE",,
21103479,Harry,Potter,,harry.potter.badilla@yeeha.com,harry.potter.badilla@lamejor.com,,,,,,,DOCTOR,,,
21673365,Irman.,Pince,,irma.pince@coldmail.com,irma.pince@lamejor.com,,,,,,,,,,
,,,,,,,HONORARIO,,vespertino,,,0,"INSTRUCTOR DOCENTE",,
,,,,,,,JORNADA,diurno,vespertino,,,DOCTOR,"ASISTENTE REGULAR","Profesor por Jornada",
,,,,,,10.0,HONORARIO,diurno,,,,Bachiller,"ASISTENTE DOCENTE",,Académico
,,,,,,10.0,HONORARIO,diurno,,,,MAGISTER,,,Académico
,,,,,,10.0,HONORARIO,diurno,vespertino,,,MAGISTER,"PROFESOR TITULAR DOCENTE",,Académico
100,POR,DESIGNAR,,,,,,,,,,MAGISTER,"ASISTENTE REGULAR",,
4010,POR,DESIGNAR,,,,,,,,,,,,,
,,,,,,10.0,HONORARIO,diurno,,,,MAGISTER,,,Académico
,,,,,,10.0,HONORARIO,diurno,,,,MAGISTER,,,Académico
,,,,,,10.0,HONORARIO,diurno,vespertino,,,MAGISTER,"PROFESORA ASISTENTE DOCENTE",,Académico
,,,,,,,JORNADA,diurno,vespertino,,,DOCTOR,"ASISTENTE REGULAR",,
,,,,,,40.0,"FULL TIME",diurno,,,,MAGISTER,,,Académico
,,,,,,10.0,HONORARIO,diurno,vespertino,,,LICENCIATURA,"PROFESOR TITULAR DOCENTE",,Académico
,,,,,,,JORNADA,diurno,,,,MAGISTER,"ASOCIADO DOCENTE",,
,,,,,,40.0,HONORARIO,,vespertino,,,MAGISTER,,,Académico
,,,,,,,JORNADA,diurno,,,,DOCTOR,"ASOCIADA REGULAR","Académico Investigador",
,,,,,,40.0,HONORARIO,diurno,vespertino,,,DOCTOR,"PROFESOR ASOCIADO REGULAR",,Académico
,,,,,,,HONORARIO,diurno,,,,DOCTORA,"ASOCIADA DOCENTE",,Académico
,,,,,,40.0,HONORARIO,diurno,vespertino,,,DOCTOR,,,Académico
,,,,,,10.0,HONORARIO,diurno,,,,MAGISTER,"PROFESOR ASISTENTE DOCENTE",,Académico
,,,,,,40.0,"FULL TIME",,,,,0,"ASOCIADO DOCENTE","Director(a) Carrera (i)",Académico
,,,,,,,JORNADA,,,,,0,"ASOCIADO DOCENTE","Profesor por Jornada",
,,,,,,,HONORARIO,,,,,,"ASISTENTE REGULAR",,Académico
17922276,,,,,,40.0,"FULL TIME",,,,,,,"Secretaria (o)",Administrativo
,,,,,,10.0,HONORARIO,,vespertino,,,LICENCIATURA,"PROFESOR ASISTENTE DOCENTE",,Académico
,,,,,,,JORNADA,,,,,0,"ASOCIADO DOCENTE","Coordinador Docente y Formación Contin",
,,,,,,10.0,HONORARIO,,,,,,"TITULAR DOCENTE",,Académico
,,,,,,,HONORARIO,,,,,,"PROFESOR ASOCIADO DOCENTE",,Académico
,,,,,,10.0,HONORARIO,diurno,,,,LICENCIATURA,"SIN JERARQUIZAR",,Académico
,,,,,,10.0,HONORARIO,diurno,vespertino,,,MAGISTER,"INSTRUCTOR DOCENTE",,Académico
,,,,,,,HONORARIO,diurno,,,,MAGISTER,"INSTRUCTOR DOCENTE",,
,,,,,,,HONORARIO,diurno,,,,MAGISTER,,,Académico
,,,,,,,HONORARIO,,,,,,"INSTRUCTOR DOCENTE",,Académico
,,,,,,,JORNADA,diurno,vespertino,,,0,"ASOCIADO DOCENTE","Director(a) Carrera",
,,,,,,,HONORARIO ,diurno,,,,MAGISTER,,,Académico
111861590,,,,,,40.0,"FULL TIME",,,,,,,"Secretaria - Escuela",Administrativo
,,,,,,40.0,"FULL TIME",diurno,,,,MAGISTER,"INSTRUCTOR DOCENTE",,Académico
,,,,,,,JORNADA,diurno,,,,MAGISTER,"ASISTENTE REGULAR","Académico Investigador",
,,,,,,,,,,,,,"INSTRUCTORA DOCENTE",,
,,,,,,10.0,HONORARIO,diurno,,,,MAGISTER,,,Académico
15647218,Cuthbert,Binns,,cuthbert.binns@yeeha.com,cuthbert.binns@lamejor.com,,,,,,,,,,
,,,,,,10.0,HONORARIO,,,,,,"INSTRUCTORA DOCENTE",,Académico
,,,,,,,HONORARIO,diurno,,,,MAGISTER,,,Académico
,,,,,,,HONORARIO,,vespertino,,,MAGISTER,"INSTRUCTOR DOCENTE",,
,,,,,,,JORNADA,diurno,vespertino,,,MAGISTER,"ASOCIADO DOCENTE","Profesor por Jornada",
,,,,,,10.0,HONORARIO,diurno,,,,LICENCIATURA,,,Académico
22336345,Blaise,Zabini,,blaise.zabini.pardo@gmall.com,blaise.zabini.pardo@lamejor.com,,,,,,,,,,
,,,,,,,JORNADA,,vespertino,,,MAGISTER,"ASOCIADO DOCENTE","Director(a) Carrera",
,,,,,,10.0,HONORARIO,diurno,,,,LICENCIATURA,"PROFESOR TITULAR DOCENTE",,Académico
19164741,"David ",Heyman,,,,,,,,,,,,,
,,,,,,,HONORARIO,diurno,,,,MAGISTER,"INSTRUCTOR DOCENTE",,
,,,,,,,HONORARIO,,vespertino,,,0,"ASISTENTE DOCENTE",,
,,,,,,,HONORARIO,diurno,,,,MAGISTER,"INSTRUCTOR DOCENTE",,
14550636,Ginny,Weasley,,ginny.weasley.rojas@gmall.com,ginny.weasley.rojas@lamejor.com,,,,,,,,,,
11055885,James,Potter,,james.potter.cortes@coldmail.com,james.potter.cortes@lamejor.com,,,,,,,,,,
,,,,,,10.0,HONORARIO,diurno,,,,MAGISTER,,,Académico
,,,,,,,,,,,,,"INSTRUCTOR DOCENTE",,
,,,,,,,JORNADA,,,,,0,"ASISTENTE REGULAR","Profesor por Jornada",
20666086,Marietta,Edgecombe,,marietta.edgecombe@dietz.com,marietta.edgecombe@lamejor,,,,,,,MAGISTER,,,
,,,,,,10.0,HONORARIO,diurno,,,,LICENCIATURA,"ASISTENTE DOCENTE",,Académico
,,,,,,40.0,HONORARIO,,,,,,,,Académico
,,,,,,10.0,HONORARIO,diurno,vespertino,,,MAGISTER,"PROFESOR ASISTENTE DOCENTE",,Académico
,,,,,,40.0,"FULL TIME",diurno,,,,DOCTOR,,,Académico
,,,,,,,HONORARIO,diurno,,,,MAGISTER,"ASISTENTE DOCENTE",,
,,,,,,,JORNADA,diurno,,,,MAGISTER,"ASISTENTE DOCENTE","Profesor por Jornada",
,,,,,,,JORNADA,diurno,,,,MAGISTER,"ASISTENTE DOCENTE","Profesor por Jornada",
,,,,,,,JORNADA,diurno,,,,MAGISTER,"ASOCIADA REGULAR","Director (a) Centro de Sol. Colab.de C",
,,,,,,,HONORARIO,,vespertino,,,LICENCIATURA,"INSTRUCTOR DOCENTE",,
,,,,,,,HONORARIO,diurno,,,,LICENCIATURA,"SIN CONOCIMIENTO",,
,,,,,,,,diurno,,,,LICENCIATURA,"INSTRUCTOR DOCENTE",,
7505853,Charity,Burbage,,charity.burbage@coldmail.com,charity.burbage@lamejor.com,,,,,,,,,,
,,,,,,10.0,HONORARIO,,vespertino,,,0,"ASISTENTE DOCENTE",,Académico
,,,,,,40.0,HONORARIO,diurno,,,,MAGISTER,"PROFESOR ASOCIADO DOCENTE","Director(a) Escuela",Académico
,,,,,,10.0,HONORARIO,diurno,,,,MAGISTER,"ASOCIADA DOCENTE",,Académico
,,,,,,,HONORARIO,diurno,,,,MAGISTER,"INSTRUCTOR DOCENTE",,
,,,,,,,HONORARIO,diurno,,,,MAGISTER,,,Académico
,,,,,,,JORNADA,,,,,,"SIN JERARQUIZAR",,
,,,,,,10.0,HONORARIO,,vespertino,,,LICENCIATURA,,,Académico
23116372,Cornelius,Fudge,,cornelius.fudge.avila@yeeha.com,cornelius.fudge.avila@lamejor.com,,,,,,,,,,
,,,,,,,,,,,,,"ASOCIADO REGULAR",,
,,,,,,,HONORARIO,diurno,,,,LICENCIATURA,,,Académico
,,,,,,40.0,"FULL TIME",diurno,,,,MAGISTER,"PROFESORA ASISTENTE REGULAR","Secretaria Ejecutiva del Centro ...",Académico
,,,,,,10.0,HONORARIO,diurno,,,,MAGISTER,,,Académico
,,,,,,,HONORARIO,,,,,MAGISTER,"INSTRUCTOR DOCENTE",,
,,,,,,,HONORARIO,diurno,,,,MAGISTER,"INSTRUCTOR DOCENTE",,
20354821,Quirinus,Quirrell,567890132,quirinus.quirrell@yeeha.com,quirinus.quirrell@lamejor.com,,"FULL TIME",diurno,vespertino,HOGWARTS,MAGIA,,"TITULAR DOCENTE","Profesor por Jornada",
,,,,,,,HONORARIO,,,,,,"SIN CONOCIMIENTO",,
,,,,,,,HONORARIO,diurno,,,,LICENCIATURA,"PROFESOR ASISTENTE DOCENTE",,Académico
,,,,,,,HONORARIO,,,,,,"INSTRUCTOR DOCENTE",,
,,,,,,40.0,"FULL TIME",,,,,MAGISTER,,,Académico
,,,,,,,HONORARIO,diurno,,,,MAGISTER,"SIN JERARQUIZAR",,
,,,,,,10.0,HONORARIO,,,,,,"SIN JERARQUIZAR",,Académico
,,,,,,40.0,"FULL TIME",diurno,vespertino,,,DOCTOR,"PROFESOR ASISTENTE REGULAR",,Académico
,,,,,,,HONORARIO,diurno,,,,LICENCIATURA,"TITULAR DOCENTE",,
,,,,,,40.0,"FULL TIME",diurno,vespertino,,,0,"COMISIÓN SUPERIOR ASOCIADO REGULAR","Director(a) Carrera",Académico
,,,,,,40.0,"FULL TIME",diurno,vespertino,,,MAGISTER,"PROFESOR TITULAR DOCENTE",,Académico
,,,,,,,HONORARIO,diurno,,,,MAGISTER,"ASISTENTE DOCENTE",,
,,,,,,40.0,"FULL TIME",diurno,vespertino,,,MAGISTER,"PROFESOR ASOCIADO DOCENTE",Decano(a),Académico
,,,,,,,HONORARIO,diurno,,,,MAGISTER,INSTRUCTOR,,
15992956,Dolores,Umbridge,,dolores.umbridge@coldmail.com,dolores.umbridge@lamejor.com,,,,,,,LICENCIATURA,,,
,,,,,,10.0,HONORARIO,diurno,,,,MAGISTER,,,Académico
8761982,"Helga ",Hufflepuff,,helga.hufflepuff.bozo@coldmail.com,helga.hufflepuff.bozo@lamejor.com,,,,,,,DOCTOR,,,
,,,,,,10.0,HONORARIO,,vespertino,,,0,"PROFESOR ASOCIADO DOCENTE",,Académico
,,,,,,40.0,"FULL TIME",diurno,vespertino,,,DOCTOR,"PROFESOR ASOCIADO REGULAR","Director Depto. ",Académico
,,,,,,,JORNADA,diurno,,,,MAGISTER,"TITULAR DOCENTE","Profesor 1/2 Jornada",
122637826,,,,,,40.0,"FULL TIME",,,,,,,"Secretaria - Escuela",Administrativo
,,,,,,,HONORARIO,diurno,vespertino,,,LICENCIATURA,"TITULAR DOCENTE",,
,,,,,,,HONORARIO,diurno,,,,MAGISTER,"COMISIÓN SUPERIOR ASOCIADA DOCENTE",,Académico
,,,,,,10.0,HONORARIO,diurno,,,,MAGISTER,"INSTRUCTOR DOCENTE",,Académico
,,,,,,,HONORARIO,diurno,,,,MAGISTER,"SIN JERARQUIZAR",,
,,,,,,10.0,,diurno,,,,MAGISTER,"SIN JERARQUIZAR",,Académico
,,,,,,40.0,"FULL TIME",,,,,0,"PROFESOR ASISTENTE DOCENTE",,Académico
,,,,,,10.0,HONORARIO,diurno,vespertino,,,MAGISTER,"INSTRUCTOR DOCENTE",,Académico
,,,,,,,HONORARIO,,vespertino,,,MAGISTER,"PROFESOR ASOCIADO DOCENTE",,Académico
,,,,,,10.0,HONORARIO,,vespertino,,,0,"INSTRUCTOR DOCENTE",,Académico
,,,,,,,HONORARIO,,,,,,"ASOCIADA DOCENTE",,
,,,,,,,JORNADA,diurno,vespertino,,,MAGISTER,"ASISTENTE DOCENTE","Coord. de Seguimiento y Apoyo al Egres",
,,,,,,,HONORARIO,diurno,vespertino,,,0,"PROFESOR ASISTENTE DOCENTE",,Académico
,,,,,,10.0,HONORARIO,diurno,,,,MAGISTER,"SIN JERARQUIZAR",,Académico
,,,,,,10.0,HONORARIO,,vespertino,,,MAGISTER,"COMISIÓN SUPERIOR ASOCIADO DOCENTE",,Académico
,,,,,,,HONORARIO,,,,,,"INSTRUCTORA DOCENTE",,Académico
,,,,,,20.0,"FULL TIME",diurno,,,,MAGISTER,"PROFESOR TITULAR DOCENTE",,Académico
12866079,Colin,Creevey,,colin.creevey.bermudez@gmall.com,colin.creevey.bermudez@lamejor.com,,,,,,,,,,
,,,,,,,HONORARIO,diurno,vespertino,,,MAGISTER,"ASISTENTE DOCENTE",,
,,,,,,,HONORARIO,diurno,,,,DOCTOR ,"ASISTENTE DOCENTE",,Académico
123712616,,,,,,40.0,"FULL TIME",,,,,,,"Secretaria (o)",Administrativo
,,,,,,10.0,HONORARIO,,,,,,,,Académico
12273600,Alastor,"PITURRA ",,alastor.piturra@yeeha.com,alastor.moody@lamejor.com,,,,,,,,,,
,,,,,,10.0,,diurno,,,,MAGISTER,"INSTRUCTOR DOCENTE",,Académico
,,,,,,,HONORARIO,,,,,,"INSTRUCTORA DOCENTE",,Académico
,,,,,,10.0,HONORARIO,diurno,,,,MAGISTER,"PROFESOR ASISTENTE DOCENTE",,Académico
,,,,,,40.0,"FULL TIME",diurno,,,,MAGISTER,"PROFESORA ASISTENTE DOCENTE","Director(a) Carrera",Académico
,,,,,,,JORNADA,,,,,0,"TITULAR REGULAR","Académico Investigador",
,,,,,,40.0,"FULL TIME",diurno,vespertino,,,MAGISTER,"PROFESOR ASOCIADO DOCENTE",,Académico
,,,,,,,HONORARIO,diurno,,,,LICENCIATURA,"TITULAR REGULAR",,
,,,,,,10.0,HONORARIO,,vespertino,,,MAGISTER,"PROFESOR ASOCIADO DOCENTE",,Académico
,,,,,,40.0,"FULL TIME",diurno,,,,MAGISTER,"ASISTENTE REGULAR","Académico Investigador",Académico
,,,,,,,HONORARIO,diurno,,,,LICENCIATURA,"INSTRUCTOR DOCENTE",,Académico
,,,,,,,JORNADA,,vespertino,,,DOCTOR,"ASISTENTE REGULAR","Director de  Área",academico
22890939,"Alfonso ",Cuarón,,,,,,,,,,,,,
,,,,,,,,diurno,,,,MAGISTER,"ASISTENTE REGULAR",,
,,,,,,,HONORARIO,diurno,,,,MAGISTER,"ASISTENTE DOCENTE",,
,,,,,,40.0,"FUL TIME",diurno,,,,LICENCIATURA,"INSTRUCTOR REGULAR","Coordinador (a) Postgrados",Académico
12w238470,,,,,,40.0,"FULL TIME",,,,,,,"Secretaria (o)",Administrativo
,,,,,,,HONORARIO,diurno,,,,MAGISTER,"ASISTENTE DOCENTE",,
,,,,,,,HONORARIO,diurno,,,,MAGISTER ,"INSTRUCTORA DOCENTE",,Académico
,,,,,,,HONORARIO,diurno,,,,MAGISTER,"INSTRUCTOR DOCENTE",,
,,,,,,,JORNADA,diurno,vespertino,,,MAGISTER,"ASOCIADO DOCENTE","Profesor por Jornada",
,,,,,,10.0,HONORARIO,diurno,vespertino,,,LICENCIATURA,"INSTRUCTOR DOCENTE",,Académico
12712137,Katie,Bell,,katie.bell.aguirre@coldmail.com,katie.bell.aguirre@lamejor.com,,,,,,,,,,
,,,,,,10.0,HONORARIO,diurno,,,,MAGISTER,,,Académico
,,,,,,40.0,"FULL TIME",diurno,,,,MAGISTER,,"Coord. de Clínica ",Académico
,,,,,,,HONORARIO,diurno,,,,MAGISTER,"ASOCIADA DOCENTE",,
14079731,Pomona,Sprout,,pomona.sprout@coldmail.com,pomona.sprout@lamejor.com,,,,,,,,,,
,,,,,,,HONORARIO,,,,,,"INSTRUCTOR DOCENTE",,
,,,,,,10.0,HONORARIO,diurno,,,,MAGISTER,,,Académico
11682760,Amycus,Carrow,,amycus.carrow@yeeha.com,amycus.carrow@lamejor.com,,,diurno,vespertino,,,,,,
,,,,,,10.0,HONORARIO,diurno,,,,MAGISTER,,,Académico
,,,,,,,JORNADA,diurno,vespertino,,,DOCTOR,"ASOCIADO REGULAR","Director Depto",academico
,,,,,,10.0,HONORARIO,diurno,,,,MAGISTER,,,Académico
,,,,,,,HONORARIO,diurno,vespertino,,,MAGISTER,"PROFESOR ASISTENTE DOCENTE",,Académico
19690944,Lavender,Brown,,lavender.brown@torralbo.com,lavender.brown@lamejor,,,,,,,,,,
,,,,,,40.0,"FULL TIME",diurno,vespertino,,,DOCTOR,,"Académico Investigador",Académico
,,,,,,,JORNADA,diurno,vespertino,,,MAGISTER,"ASOCIADO DOCENTE",Decano(a),
,,,,,,,JORNADA,diurno,,,,LICENCIATURA,"INSTRUCTOR DOCENTE","Director Clínica ",academico
,,,,,,40.0,"FULL TIME",,,,,0,"PROFESOR ASOCIADO DOCENTE",,Académico
,,,,,,10.0,HONORARIO,diurno,,,,MAGISTER,,,Académico
,,,,,,,HONORARIO,,,,,,"INSTRUCTORA DOCENTE",,
,,,,,,40.0,"FULL TIME",diurno,vespertino,,,MAGISTER,,"Secretario(a) Estudios",Académico
123712616,,,,,,40.0,"FULL TIME",,,,,,,"Secretaria - Escuela",Administrativo
19028250,Kingsley,Shacklebolt,,kingsley.shacklebolt.perez@gmall.com,kingsley.shacklebolt.perez@lamejor.com,,,,,,,,,,
,,,,,,10.0,HONORARIO,diurno,,,,MAGISTER,,,Académico
,,,,,,,JORNADA,diurno,,,,MAGISTER,"ASOCIADO DOCENTE","Director(a) Escuela",
,,,,,,10.0,HONORARIO,,vespertino,,,MAGISTER,"PROFESOR ASISTENTE DOCENTE",,Académico
,,,,,,40.0,"FULL TIME",diurno,,,,MAGISTER,,,Académico
,,,,,,10.0,HONORARIO,diurno,,,,MAGISTER,"PROFESOR ASISTENTE DOCENTE",,Académico
,,,,,,,HONORARIO,,vespertino,,,MAGISTER,"ASOCIADO DOCENTE",,
,,,,,,40.0,"FULL TIME",diurno,vespertino,,,MAGISTER,"PROFESOR ASISTENTE REGULAR",,Académico
,,,,,,10.0,HONORARIO,diurno,,,,MAGISTER,"ASISTENTE DOCENTE",,Académico
24441914,Gregory,Goyle,,gregory.goyle.brochet@yeeha.com,gregory.goyle.brochet@lamejor.com,,,,,,,,,,
,,,,,,10.0,HONORARIO,,vespertino,,,MAGISTER,,,Académico
,,,,,,40.0,"FULL TIME",diurno,,,,MAGISTER,"ASOCIADO REGULAR","Académico Investigador",Académico
,,,,,,10.0,HONORARIO,,,,,,"PROFESORA ASISTENTE DOCENTE",,Académico
,,,,,,,HONORARIO,,vespertino,,,0,"ASISTENTE DOCENTE",,
,,,,,,40.0,"FULL TIME",,vespertino,,,DOCTOR,"ASISTENTE REGULAR","Coordinador de Investigacion",Académico
,,,,,,10.0,HONORARIO,diurno,,,,MAGISTER,,,Académico
,,,,,,,HONORARIO,diurno,vespertino,,,MAGISTER,,,Académico
,,,,,,40.0,"FULL TIME",,,,,0,"PROFESORA ASISTENTE REGULAR",,Académico
,,,,,,40.0,"FULL TIME",,,,,,,"Secretaria - Escuela",Administrativo
6012,DESIGNAR,POR,,,,,,,,,,DOCTORA,"INSTRUCTOR DOCENTE","Profesor por Jornada",
,,,,,,,HONORARIO,diurno,,,,MAGISTER,"ASISTENTE DOCENTE",,
,,,,,,,HONORARIO,diurno,,,,MAGISTER,"INSTRUCTOR DOCENTE",,
,,,,,,,HONORARIO,diurno,,,,LICENCIATURA,,,Académico
20364718,Rolanda,Hooch,890123465,rolanda.hooch@coldmail.com,rolanda.hooch@lamejor.com,,"FULL TIME",,,HOGWARTS,MAGIA,,"ASOCIADO DOCENTE","Director(a) Carrera (i)",
,,,,,,,HONORARIO,,vespertino,,,MAGISTER,"PROFESOR ASISTENTE DOCENTE",,Académico
,,,,,,10.0,HONORARIO,diurno,,,,MAGISTER,,,Académico
,,,,,,40.0,HONORARIO,diurno,,,,MAGISTER,,,Académico
,,,,,,,JORNADA,diurno,,,,DOCTORA,"ASOCIADA DOCENTE","Profesor 1/2 Jornada",
,,,,,,40.0,"FULL TIME",diurno,vespertino,,,DOCTOR,"PROFESOR ASISTENTE DOCENTE","Director (a) Formación Cont. y Postgra",Académico
,,,,,,40.0,"FULL TIME",diurno,vespertino,,,LICENCIATURA,"INSTRUCTORA DOCENTE","Secretaria Estudios",Académico
,,,,,,10.0,HONORARIO,diurno,,,,MAGISTER,,,Académico
,,,,,,,HONORARIO,diurno,,,,MAGISTER,"ASISTENTE DOCENTE",,
